Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	AOI Name	Content
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Information	Separator	-	1	0.0	-	820348.8	-	-	-	-	-	-	-	-	-	-	8a68b458a58a303ae0ded1cfbbd28ce1_1280x1024.jpg
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	1	9.2	257.9	820358.0	820606.7	248.7	622.9	847.8	13.9	13.9	3.7	11.4	64.2	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	2	282.9	374.6	820631.7	820723.4	91.7	643.5	411.1	13.6	13.6	3.6	21.0	72.3	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	3	383.0	750.3	820731.8	821099.0	367.2	594.3	313.2	13.8	13.8	3.7	30.5	35.4	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	4	775.3	992.1	821124.0	821340.9	216.9	641.1	596.5	14.1	14.1	3.8	35.7	46.9	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	5	1017.3	1267.5	821366.0	821616.3	250.2	602.5	348.1	14.6	14.6	3.9	31.7	61.1	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	6	1275.9	1834.9	821624.6	822183.7	559.0	587.5	296.7	14.2	14.2	3.8	21.2	77.3	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	7	1843.2	2076.8	822192.0	822425.6	233.6	573.0	256.6	14.2	14.2	3.8	11.4	31.3	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	8	2101.8	2986.3	822450.6	823335.1	884.5	816.0	223.5	14.3	14.3	3.8	54.4	37.8	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	9	3169.9	3270.0	823518.7	823618.8	100.1	877.3	361.6	14.1	14.1	3.6	31.4	22.8	White Space	-
Trial002	820348.8	Stihl_ad.jpg	0.0	5995.2	P01	Coral	97.7	Eye	Fixation	Right	10	3278.3	3612.0	823627.1	823960.8	333.7	972.3	443.0	15.1	15.1	4.0	29.5	36.9	White Space	-
