id,color.name,label.color,red,green,blue
1,coral,black,255,127,80
2,cornflowerblue,black,100,149,237
3,orangered,black,255,69,0
4,cyan,black,0,255,255
5,darkblue,white,0,0,139
6,darkcyan,black,0,139,139
7,darkgoldenrod,black,184,134,11
8,deeppink,black,255,20,147
9,yellow,black,255,255,0
10,greenyellow,black,173,255,47
11,darkmagenta,black,139,0,139
12,darkolivegreen,black,85,107,47
13,violet,black,238,130,238
14,darkcyan,black,0,139,139
15,orange,black,255,165,0
16,forestgreen,black,34,139,34
17,darkgray,white,169,169,169
18,olivedrab,black,107,142,35
19,plum,black,221,160,221
20,dimgray,black,105,105,105
21,darkgreen,black,0,100,0
22,darkviolet,black,148,0,211
23,aquamarine,black,127,255,212
24,wheat4,black,139,126,102
25,springgreen,black,0,255,127
26,chocolate4,black,139,69,19
27,black,black,0,0,0
28,sandybrown,black,244,164,96
29,tomato,black,255,99,71
30,darkkhaki,black,189,183,107
31,violetred4,black,139,34,82
32,peachpuff,black,255,218,185
33,khaki1,black,255,246,143
34,plum,black,221,160,221
35,lightpink3,black,205,140,149
36,tan,black,210,180,140
37,blanchedalmond,black,255,235,205
38,darkslateblue,white,72,61,139
39,goldenrod,black,218,165,32
40,hotpink,black,255,105,180
41,indianred,white,205,92,92
42,khaki,black,240,230,140
43,lightblue,black,173,216,230
44,lightcoral,black,240,128,128
45,lightgreen,black,144,238,144
46,magenta,white,255,0,255
47,mediumaquamarine,black,102,205,170
48,mediumorchid,black,186,85,211
49,mediumturquoise,black,72,209,204
50,mediumvioletred,black,199,21,133
51,midnightblue,white,25,25,112
52,navajowhite,black,255,222,173
53,olive,white,128,128,0
54,palegoldenrod,black,238,232,170
55,palegreen,black,152,251,152
