"Stimulus","Content"
"Beyoncé","cn-v1-beyonce.jpg"
"Halle Berry","cn-v1-halle-berry.jpg"
"Julia Roberts","cn-v1-julia-roberts.jpg"
"Mariah Carey","cn-v1-mariah-carey.jpg"
"Carrie Underwood","cn-v2-carrie-underwood.jpg"
"David Beckham","cn-v2-david-beckham.jpg"
"Jennifer Aniston","cn-v2-jennifer-aniston.jpg"
"Justin Bieber","cn-v2-justin-bieber.jpg"
"Ellen DeGeneres","cn-v3-ellen-degeneres.jpg"
"Jennifer Lawrence","cn-v3-jennifer-lawrence.jpg"
"Katy Perry","cn-v3-katy-perry.jpg"
"Selena Gomez","cn-v3-selena-gomez.jpg"
"Brad Pitt","cp-v1-brad-pitt.jpg"
"Emma Watson","cp-v1-emma-watson.jpg"
"Johnny Depp","cp-v1-johnny-depp.jpg"
"Roger Federer","cp-v1-roger-federer.jpg"
"Ellen DeGeneres 2","cp-v2-ellen-degeneres.jpg"
"George Clooney","cp-v2-george-clooney.jpg"
"Katy Perry 2","cp-v2-katy-perry.jpg"
"Usain Bolt","cp-v2-usain-bolt.jpg"
"Emma Stone","cp-v3-emma-stone.jpg"
"Jennifer Lopez","cp-v3-jennifer-lopez.jpg"
"Rihanna","cp-v3-rihanna.jpg"
"Zooey Deschanel","cp-v3-zooey-deschanel.jpg"
"Amanda Seyfried","nn-v1-amanda-seyfried.jpg"
"Hayden Panettiere","nn-v1-hayden-panettiere.jpg"
"Kit Harington","nn-v1-kit-harington.jpg"
"Ozzy Osbourne","nn-v1-ozzy-osbourne.jpg"
"Cheryl Cole","nn-v2-cheryl-cole.jpg"
"Julianne Moore","nn-v2-julianne-moore.jpg"
"Natalia Vodianova","nn-v2-natalia-vodianova.jpg"
"Ruby Rose","nn-v2-ruby-rose.jpg"
"Elle Fanning","nn-v3-elle-fanning.jpg"
"Kiera Knightley","nn-v3-keira-knightley.jpg"
"Olivier Martinez","nn-v3-olivier-martinez.jpg"
"Zoe Saldana","nn-v3-zoe-saldana.jpg"
"Alyson Hannigan","np-v1-alyson-hannigan.jpg"
"Charlize Theron","np-v1-charlize-theron-1.jpg"
"Diane Kruger","np-v1-diane-kruger.jpg"
"Lady Gaga","np-v1-lady-gaga.jpg"
"Ashton Kutcher","np-v2-ashton-kutcher.jpg"
"Charlize Theron 2","np-v2-charlize-theron.jpg"
"Eli Manning","np-v2-eli-manning.jpg"
"Liv Tyler","np-v2-liv-tyler.jpg"
"Blake Lively","np-v3-blake-lively.jpg"
"Christina Aguilera","np-v3-christina-aguilera.jpg"
"Jessica Alba","np-v3-jessica-alba.jpg"
"Simon Baker","np-v3-simon-baker.jpg"
